idx,angdist_arcsec,qso_name,qso_type,qso_ra,qso_dec,qso_z
18417,167.733103,SDSS J141652.35+401237.4,Q,214.2181686,40.210403,1.7619999647140503
18419,56.942042,UGC 9222,N,215.943,34.0170021,0.012000000104308128
18419,127.341384,SDSS J142332.30+340054.6,A,215.88459,34.015188,0.12300000339746475
7764,53.792549,J084622.86+470836.7,X,131.5952778,47.1435278,
18422,157.819758,WISEA J165501.03+480343.6,q,253.7542941,48.0621143,0.4000000059604645
18422,179.040784,SDSS J165445.89+480109.8,Q,253.6912178,48.0194091,1.3630000352859497
7767,142.011141,SDSS J143850.22+302855.6,Q,219.7092878,30.4821168,2.492000102996826
7767,164.730262,SDSS J143902.37+302711.6,A,219.7598724,30.4532156,0.21400000154972076
7768,103.807059,SDSS J161420.38+174356.9,Q,243.5849515,17.7324997,1.3200000524520874
7768,171.937863,SDSS J161426.28+174710.6,Q,243.6095317,17.7863053,2.11299991607666
18427,144.818329,SDSS J010753.57+321635.5,QX,16.9732394,32.2765492,1.9529999494552612
18428,149.664042,SDSS J011653.88+162325.0,Q,19.2245027,16.3902434,2.309999942779541
18432,120.516695,J084924.01+360828.5,X,132.3500679,36.1412652,0.20000000298023224
7774,56.040517,SDSS J001355.59+305205.2,QX,3.4816355,30.8681384,2.4820001125335693
18434,139.45103,WISEA J183621.88+380949.6,q,279.0911627,38.1638012,0.20000000298023224
18435,34.854355,WISEA J192502.88+742304.1,q,291.2620549,74.384476,0.20000000298023224
7776,95.164752,SDSS J091443.15+080740.9,Q,138.6798119,8.128047,2.690000057220459
18437,174.852319,WISEA J222638.02+364835.2,q,336.6584431,36.8097824,1.600000023841858
7777,0.250391,IC 2515,NRX,148.6642403,37.4085921,0.01899999938905239
7777,132.132669,SDSS J095443.61+372228.3,Q,148.681715,37.3745511,1.1299999952316284
7777,171.14716,SDSS J095449.38+372634.2,QX,148.7057528,37.442857,1.7120000123977661
18440,164.237924,WISEA J045204.22-035735.8,q,73.017531,-3.959957,0.5
18442,131.342183,PGC 1809566,N,119.2749002,27.4856247,0.07599999755620956
7784,164.50964,SDSS J101822.86+070534.9,Q,154.5952677,7.0930148,3.7679998874664307
7785,120.581657,WISEA J113758.61-322127.1,q,174.494234,-32.3575392,1.2000000476837158
7786,81.285805,SDSS J121230.82+290754.1,qX,183.1284441,29.1317075,0.30000001192092896
7786,105.592568,J121234.97+290856.0,X,183.1457223,29.1488889,
7786,140.847276,SDSS J121226.79+291118.0,qRX,183.111671,29.1883521,1.399999976158142
7786,152.244306,NGC 4169,NRX,183.0782223,29.1794167,0.013000000268220901
7787,157.756542,PGC 1737498,A,218.6015215,25.4650047,0.09399999678134918
7787,174.017124,SDSS J143420.91+252550.6,Q,218.5871635,25.4307405,2.441999912261963
18452,29.902096,SDSS J230528.70-083501.7,qX,346.369596,-8.5838276,2.299999952316284
7790,163.303624,WISEA J133442.56+261133.4,q,203.6773471,26.1926231,0.800000011920929
18457,61.244448,WISEA J031033.37-113402.4,q,47.6390839,-11.5673492,1.2999999523162842
18458,149.794215,SDSS J082303.45+042510.5,qX,125.7643783,4.4196034,2.200000047683716
7796,151.617697,SDSS J023753.91+021709.5,Q,39.4746257,2.2859866,2.132999897003174
18461,166.99027,SDSS J113456.13+190239.7,N,173.73388,19.044377,0.5170000195503235
18462,177.375988,SDSS J130220.95+502501.5,Q,195.5873172,50.4170911,1.0140000581741333
18465,87.267711,WISEA J185754.50-644620.5,q,284.4771653,-64.7723616,1.899999976158142
7802,93.99197,2QZ J120350.7+014123,Q,180.961536,1.6898852,0.9269999861717224
7802,137.203445,SDSS J120353.48+014216.4,qX,180.9728717,1.7045652,1.2999999523162842
18470,177.632242,SDSS J235716.67+294823.9,Q,359.3194888,29.8066339,1.0440000295639038
18473,64.676387,SDSS J092006.11+330642.6,Q,140.0254591,33.1118636,1.406999945640564
18473,82.841072,SDSS J092007.03+330657.7,Q,140.0292886,33.1160282,1.7389999628067017
7807,78.838052,J032000.09-664052.7,X,50.0003857,-66.6813276,
7807,122.04899,J032006.88-664002.4,X,50.0286667,-66.6673334,
7807,132.412392,J031959.72-663956.6,X,49.9988528,-66.6657435,
7807,148.008227,WISEA J032014.91-664421.6,qX,50.0621791,-66.7393852,1.899999976158142
18476,73.771369,WISEA J113653.58-125826.8,q,174.2232784,-12.9741237,0.800000011920929
18477,83.894802,J113743.18+220115.4,X,174.4299167,22.0209445,
18477,106.945582,J113743.08+220241.5,X,174.4295278,22.0448612,
18477,111.418551,SDSS J113748.54+220325.3,qX,174.4522705,22.0570354,1.0
18477,120.416089,SDSS J113749.41+220334.3,AX,174.455956,22.0595686,0.5490000247955322
18477,157.378613,SDSS J113738.47+220229.5,AX,174.4102893,22.0415672,0.4519999921321869
7812,0.141344,NGC 4985,AR,197.0504026,41.6763392,0.02800000086426735
18480,124.644119,WISEA J135105.06+235905.3,q,207.7712192,23.9847592,1.600000023841858
7813,134.342996,WISEA J143913.25-252714.3,q,219.8052452,-25.4539796,0.30000001192092896
7815,0.254151,MCG -1-53-008,AX,311.5868401,-2.8126002,0.027000000700354576
7815,150.647525,J204630.78-024824.2,X,311.6282656,-2.8067305,1.7000000476837158
18488,0.099705,CGCG 501-58,AX,14.9720223,31.8270146,0.014999999664723873
7822,123.108149,WISEA J064658.56+743344.6,q,101.7440282,74.5623927,1.899999976158142
18492,34.063977,WISEA J051321.29+093659.9,q,78.3386513,9.6167035,1.2999999523162842
