pair_id,field_kind,field_index,is_catalogued_companion,name,type,z,offset_arcmin
NGC1073-QSOs,control,10,False,SDSS J024950.54+011054.3,A,0.48500001430511475,3.2456297158887093
NGC1073-QSOs,control,10,False,SDSS J024957.55+011032.7,Q,1.6360000371932983,4.995546092904178
NGC1073-QSOs,control,11,False,SDSS J024813.82+021845.9,Q,1.3880000114440918,1.609472759743555
NGC1073-QSOs,control,11,False,SDSS J024816.39+022134.4,Q,2.0980000495910645,2.312770992208965
NGC1073-QSOs,control,11,False,SDSS J024819.74+022522.8,Q,2.122999906539917,5.964462819713647
NGC1073-QSOs,control,11,False,SDSS J024825.79+022433.5,Q,2.5429999828338623,5.362240952954293
NGC1073-QSOs,control,11,False,SDSS J024837.49+021652.5,Q,0.6620000004768372,5.115205717292882
NGC7319-QSO,host,-1,False,ChaMP J223551.8+340105,QX,1.0140000581741333,3.5157883603234827
NGC7319-QSO,host,-1,False,ChaMP J223557.6+340353,QX,2.0759999752044678,5.4782063602629565
NGC7319-QSO,host,-1,True,Q 2233+337,QX,2.114000082015991,0.1553157847162571
NGC7319-QSO,control,5,False,SDSS J224202.64+330830.5,A,0.40700000524520874,3.0223394112619517
NGC7319-QSO,control,5,False,SDSS J224205.05+331034.1,Q,2.184000015258789,1.4281660729392178
NGC7319-QSO,control,5,False,SDSS J224205.97+331455.1,Q,2.6730000972747803,4.23868201549327
NGC7319-QSO,control,5,False,SDSS J224221.16+331157.2,Q,2.450000047683716,2.2559318873635883
NGC7319-QSO,control,8,False,SDSS J223923.28+323702.1,Q,1.0679999589920044,5.588925209069379
NGC7319-QSO,control,8,False,SDSS J223959.25+324512.7,Q,0.9020000100135803,5.582643487023955
NGC7319-QSO,control,10,False,SDSS J223454.03+323021.8,A,0.652999997138977,2.104826152329452
NGC7319-QSO,control,10,False,SDSS J223501.42+323211.4,Q,2.444999933242798,2.7746680637040932
NGC7319-QSO,control,10,False,SDSS J223518.29+322855.9,Q,0.6819999814033508,3.2667272465890864
NGC3628-XQSO,host,-1,True,WEE 51,QX,1.4989999532699585,4.18516281357738
NGC3628-XQSO,host,-1,False,1WGA J1120.2+1332,QX,0.9929999709129333,2.9572740736953445
NGC3628-XQSO,host,-1,False,1WGA J1120.4+1340,QX,0.984000027179718,5.51349428278675
NGC3628-XQSO,host,-1,False,1WGA J1120.6+1336,AX,0.40700000524520874,5.62733600484843
NGC3628-XQSO,host,-1,False,WEE 52,QX,2.430000066757202,5.983534599742302
NGC3628-XQSO,control,0,False,SDSS J111455.55+140812.4,Q,0.7360000014305115,5.520672547494606
NGC3628-XQSO,control,0,False,SDSS J111458.88+141418.9,Q,3.2279999256134033,5.543039587621568
NGC3628-XQSO,control,3,False,SDSS J111429.51+125219.0,QX,2.311000108718872,5.577379615352676
NGC3628-XQSO,control,4,False,SDSS J111648.47+121920.5,Q,2.115000009536743,5.310979922960941
NGC3628-XQSO,control,4,False,SDSS J111702.87+121213.8,Q,0.9929999709129333,5.773259076552207
