id,ra_deg,dec_deg,cz_kms,glat_deg
15005570-0727263,225.23209,-7.45736,1894.0,43.324575401531966
11300745+0916358,172.53107,9.27663,1018.0,63.78558140907656
09161109-1618457,139.04623,-16.31273,2103.0,22.1006938900842
12564890-0831310,194.20375,-8.52529,1069.0,54.3226533744182
00574891+3021083,14.45378,30.35236,4942.0,-32.49918820287366
20342056-3158512,308.58569,-31.98089,2791.0,-34.693784801668784
11405873+1128160,175.24477,11.47112,990.0,67.22003656757681
10195499+4532588,154.97913,45.54969,667.0,54.82892113152734
20204964-4814206,305.20682,-48.23908,2958.0,-34.43765599390953
07270405+8010410,111.76688,80.17807,2204.0,28.216714012799542
11332117+4701447,173.33823,47.02909,866.0,64.87883761160784
11183613+5759597,169.65051,57.99997,2034.0,55.09997639254577
09212749-1154341,140.36455,-11.90949,1793.0,25.85465708804461
22372452+2347540,339.35223,23.79833,1172.0,-29.66907696535125
22083427-5726331,332.14288,-57.44259,1655.0,-48.36040797901661
01325190-0701535,23.21629,-7.03156,1872.0,-67.62659347669283
10182488+2153383,154.60374,21.89397,1399.0,54.93431158954563
10511624+2758298,162.81761,27.975,1414.0,63.41866720094705
05521140-0727222,88.04749,-7.4562,2410.0,-16.545224079346298
22020846-3159233,330.53522,-31.98982,2502.0,-53.09681578715552
21524246-4815142,328.177,-48.2539,1939.0,-49.60057856676304
08185834+5748111,124.7431,57.80309,1039.0,34.236720629705985
12500394-4122554,192.51636,-41.38203,4661.0,21.488980270281616
00524236-3112209,13.17652,-31.20583,1629.0,-85.9130429650676
12060860+4934563,181.53584,49.58231,1074.0,65.91674923773846
11524945+4407146,178.20605,44.12073,809.0,69.31914469032525
12290301+1311018,187.26254,13.18385,1931.0,75.10509339108359
23201452+0812226,350.06049,8.20626,3762.0,-48.32829310558305
12434262+1623362,190.92764,16.39338,788.0,79.11686772218053
18562965-5418210,284.12366,-54.30577,2659.0,-22.443989627563536
05470188-3415021,86.75787,-34.2506,883.0,-27.429715897099396
04273810-5501401,66.9088,-55.02779,1510.0,-42.309412053904474
09241854+3430481,141.07729,34.51338,1687.0,45.401587935341674
09500818-7355199,147.53401,-73.9222,1220.0,-15.35846208236966
15181355-2405526,229.5565,-24.09793,2120.0,27.72514014177708
01594262-0557509,29.92765,-5.96419,1362.0,-63.324593315899456
03164489+8047358,49.18761,80.79332,2342.0,19.59632130509988
23204252+0813014,350.17722,8.217,3405.0,-48.37891697657076
19151617-5407569,288.81738,-54.13249,2847.0,-25.064820436611576
04313985-0505099,67.91609,-5.08612,4681.0,-33.24174993888298
13575425-2918566,209.47607,-29.31573,2625.0,31.35543684928929
03364623-3559573,54.19257,-35.99924,907.0,-53.96600664842932
19451516-5420389,296.31311,-54.34414,2522.0,-29.41962553507384
12292799+0845006,187.3667,8.75016,588.0,70.90152370364673
06054236-8637553,91.42652,-86.63202,1867.0,-27.746491736015862
11585222+4243206,179.71759,42.72241,703.0,71.09661199253668
04565634-0451566,74.23473,-4.86575,3891.0,-27.613711948074293
10004083-3139519,150.17017,-31.66449,2582.0,18.50749061669381
12254682+1239434,186.44508,12.66207,2524.0,74.33551964446224
12500736+7252281,192.53069,72.87448,1623.0,44.25342724926651
12162731-4319274,184.11385,-43.32426,1999.0,19.090437597303342
04143654-5603389,63.65226,-56.06081,1238.0,-43.82012982801271
12393949-0520391,189.91455,-5.34421,2698.0,57.4028672421297
11165896+1808547,169.24567,18.1486,1253.0,66.48118801287632
15183652-2404069,229.65219,-24.06859,2565.0,27.696040953903463
14182570+3629372,214.60713,36.49362,3213.0,69.34901669040187
03462726-0358075,56.61356,-3.96879,3909.0,-42.288951561596576
10001412-1938113,150.05891,-19.63644,3964.0,27.502994479649686
09590864-3413307,149.78607,-34.22523,2592.0,16.324191632515504
04412822-0251289,70.36762,-2.85804,820.0,-30.01488359523807
13490531-3017452,207.27213,-30.29586,4517.0,30.94612750787964
03320302-2049089,53.0126,-20.81916,1545.0,-52.92905809097386
12433254+1134568,190.88559,11.58247,1395.0,74.34399979865503
14592411-1637265,224.85045,-16.62399,2863.0,36.35774773073103
10302648-3521343,157.61037,-35.3595,3804.0,19.199586226071588
12040383+3153449,181.01595,31.89579,760.0,78.65326723258138
13125184-4305462,198.21608,-43.09623,3121.0,19.60281289051367
03520081-8349503,58.00346,-83.83068,1753.0,-31.386174588263923
22004125+1744172,330.17181,17.73807,1140.0,-28.958201147792856
13141365-4257404,198.55682,-42.96127,3765.0,19.714539403493823
11470456-1651167,176.76906,-16.8546,1196.0,43.32851858344777
12161173+4753000,184.04887,47.88337,916.0,68.1344879782129
14131490-0312272,213.31209,-3.20756,1853.0,53.81010129732206
19434067+5606339,295.91959,56.10946,3386.0,15.448473817177153
12580782-4615511,194.53265,-46.26424,2181.0,16.591823577068254
06120963-2148212,93.04019,-21.80595,2306.0,-18.077376094594733
15383977+5921212,234.66582,59.35588,3017.0,46.923527438653664
13561200+0500520,209.05002,5.01446,1241.0,63.034024107422795
22132171-4601036,333.34042,-46.01761,1936.0,-53.59764261208724
15494955-2923124,237.45645,-29.38683,2112.0,19.173570074569312
12265062+0935028,186.71091,9.58418,854.0,71.52050935767383
12543570-1234070,193.64874,-12.56861,4618.0,50.29574519355412
03384485-4406022,54.68694,-44.10061,993.0,-52.52047062781153
12443197+1111259,191.13326,11.19052,1083.0,73.97980219889588
12411328+1009208,190.30534,10.15575,1864.0,72.85750429695102
