pair_id,profile,x,a_int_x,phi_x
NGC4258-QSOs,exponential,0.949748743718593,0.7175586152507297,0.3319006409558718
NGC4258-QSOs,exponential,0.9547738693467337,0.7174298700493682,0.3320800782169033
NGC4258-QSOs,exponential,0.9597989949748744,0.7173036868561642,0.3322559759547404
NGC4258-QSOs,exponential,0.964824120603015,0.7171800146875804,0.33242840338456353
NGC4258-QSOs,exponential,0.9698492462311558,0.717058803574643,0.33259742839167195
NGC4258-QSOs,exponential,0.9748743718592965,0.7169400045427532,0.33276311755611077
NGC4258-QSOs,exponential,0.9798994974874372,0.7168235695918976,0.33292553617688203
NGC4258-QSOs,exponential,0.9849246231155779,0.7167094516772561,0.3330847482957373
NGC4258-QSOs,exponential,0.9899497487437187,0.7165976046901921,0.33324081672056527
NGC4258-QSOs,exponential,0.9949748743718593,0.7164879834396232,0.33339380304837524
NGC4258-QSOs,exponential,1.0,0.7163805436337625,0.3335437676878827
NGC4258-QSOs,tanh,0.0,1.0,-0.0
NGC4258-QSOs,tanh,0.005025125628140704,0.9999749897490866,2.5010563674933365e-05
NGC4258-QSOs,tanh,0.010050251256281407,0.9999482512294291,5.175010958472587e-05
NGC4258-QSOs,tanh,0.01507537688442211,0.9999196653739686,8.033785303030607e-05
NGC4258-QSOs,tanh,0.020100502512562814,0.9998891049642564,0.00011090118505267357
NGC4258-QSOs,tanh,0.02512562814070352,0.9998564340797949,0.00014357622677832889
NGC4258-QSOs,tanh,0.03015075376884422,0.9998215075112377,0.00017850842044242913
NGC4258-QSOs,tanh,0.035175879396984924,0.999784170135235,0.0002158531593820878
NGC4258-QSOs,tanh,0.04020100502512563,0.9997442562485873,0.0002557764594225764
NGC4258-QSOs,tanh,0.04522613065326633,0.999701588859263,0.0002984556742012311
NGC4258-QSOs,tanh,0.05025125628140704,0.999655978931713,0.0003440802571099181
NGC4258-QSOs,tanh,0.05527638190954774,0.999607224583799,0.00039285257266886433
NGC4258-QSOs,tanh,0.06030150753768844,0.9995551102325321,0.0004449887602822074
NGC4258-QSOs,tanh,0.06532663316582915,0.9994994056857014,0.0005007196534634896
NGC4258-QSOs,tanh,0.07035175879396985,0.9994398651763597,0.0005602917577561628
NGC4258-QSOs,tanh,0.07537688442211056,0.9993762263370154,0.0006239682907158995
NGC4258-QSOs,tanh,0.08040201005025126,0.9993082091102827,0.0006920302874499654
NGC4258-QSOs,tanh,0.08542713567839195,0.9992355145926373,0.0007647777753486406
NGC4258-QSOs,tanh,0.09045226130653267,0.9991578238078416,0.0008425310217610976
NGC4258-QSOs,tanh,0.09547738693467336,0.9990747964065296,0.0009256318584903215
NGC4258-QSOs,tanh,0.10050251256281408,0.9989860692883824,0.0010144450870850248
NGC4258-QSOs,tanh,0.10552763819095477,0.9988912551432901,0.0011093599689989302
NGC4258-QSOs,tanh,0.11055276381909548,0.998789940907888,0.001210791804758603
NGC4258-QSOs,tanh,0.11557788944723618,0.9986816861338698,0.0013191836063328017
NGC4258-QSOs,tanh,0.12060301507537688,0.9985660212645409,0.0014350078669187576
NGC4258-QSOs,tanh,0.12562814070351758,0.9984424458161736,0.001558768432346556
NGC4258-QSOs,tanh,0.1306532663316583,0.9983104264608763,0.0016910024782543958
